Country,InorOut,Develop,1960,1970,1980,1990,2000
Lao PDR,Moveout,Developing,22671,27846,133294,289543,335215
Latvia,Moveout,Developing,194933,322396,309129,315607,339200
Lebanon,Moveout,Developing,136151,188700,432461,589203,662287
Lesotho,Moveout,Developing,203243,193463,216581,325899,174018
Liberia,Moveout,Developing,15542,20883,91062,91705,264342
Libya,Moveout,Developing,53233,71103,66876,67044,108301
Liechtenstein,Moveout,Developed,4101,4641,7013,2153,4492
Lithuania,Moveout,Developing,574149,674816,565868,588991,534521
Luxembourg,Moveout,Developed,28305,27153,34688,32014,23631
"Macao SAR, China",Moveout,Developing,19618,1841132,16120,175971,96868
"Macedonia, FYR",Moveout,Developing,111350,144804,468272,223055,341444
Madagascar,Moveout,Developing,7360,13069,75488,87451,65157
Malawi,Moveout,Developing,295866,309338,262933,272857,231240
Malaysia,Moveout,Developing,222955,314447,409473,593393,1148394
Maldives,Moveout,Developing,54,138,880,2067,737
Mali,Moveout,Developing,260753,392302,650277,642684,771642
Malta,Moveout,Developing,81194,104080,104763,109568,70923
Marshall Islands,Moveout,Developing,358,369,2172,3658,5961
Mauritania,Moveout,Developing,43493,42478,67259,87777,95640
Mauritius,Moveout,Developing,10999,17161,66847,102730,86441
Mexico,Moveout,Developing,638803,1033394,2579266,4744409,9550519
"Micronesia, Fed. Sts.",Moveout,Developing,953,2371,11098,7549,15005
Moldova,Moveout,Developing,412880,453380,440386,593717,642959
Monaco,Moveout,Developed,5623,3038,15556,1294,2713
Mongolia,Moveout,Developing,404,1932,2042,2020,4862
Montenegro,Moveout,Developing,0,0,0,0,0
Morocco,Moveout,Developing,659493,814866,1222747,1619908,1574610
Mozambique,Moveout,Developing,649769,637230,474978,566614,750996
Myanmar,Moveout,Developing,130795,194541,246597,201912,325467
Namibia,Moveout,Developing,20979,37082,65813,106437,62542
Naura,Moveout,Developing,270,587,871,1047,1523
Nepal,Moveout,Developing,524745,600162,638184,588156,768574
Netherlands,Moveout,Developed,624990,687987,718831,728409,761858
New Caledonia,Moveout,Developing,2603,1602,8876,4651,15499
New Zealand,Moveout,Developed,83642,105810,234119,357399,499008
Nicaragua,Moveout,Developing,44206,56194,101188,318880,502389
Niger,Moveout,Developing,80510,105417,198060,150644,220506
Nigeria,Moveout,Developing,335144,334583,343640,415017,644040
Northern Mariana Islands,Moveout,Developing,426,537,4324,7425,10745
Norway,Moveout,Developed,267188,221950,167591,163685,199864
Oman,Moveout,Developing,21369,40930,68341,145005,184012
Pakistan,Moveout,Developing,8844450,8515567,3965878,3477569,3809450
Palau,Moveout,Developing,4774,2878,5409,7649,18167
Panama,Moveout,Developing,25990,41845,108151,150252,174578
Papua New Guinea,Moveout,Developing,4255,8402,21338,26595,37708
Paraguay,Moveout,Developing,182182,230409,292168,303325,396280
Peru,Moveout,Developing,56091,69182,134014,291112,685890
Philippines,Moveout,Developing,155326,400080,980183,2045468,2987137
Poland,Moveout,Developing,5681391,5208710,4795402,4189057,5135212
Portugal,Moveout,Developed,891809,1271752,1863542,1768548,1321742
Puerto Rico,Moveout,Developing,670369,971240,1160810,1452518,1489953
Qatar,Moveout,Developing,928,1412,3205,3531,3811
Romania,Moveout,Developing,585181,694352,627734,1755707,1291864
Russian Federation,Moveout,Developing,8408792,10563131,11679374,13241246,10369832
Rwanda,Moveout,Developing,405258,389712,332164,305627,214237
Samoa,Moveout,Developing,8361,19847,52272,73789,97813
San Marino,Moveout,Developed,682,175,1517,668,3630
Sao Tome and Principe,Moveout,Developing,23320,13196,14892,18865,33683
Saudi Arabia,Moveout,Developing,20027,37891,81603,103061,126073
Senegal,Moveout,Developing,79582,103166,198007,302945,327224
Serbia,Moveout,Developing,0,0,0,0,0
Seychelles,Moveout,Developing,890,1338,4927,7321,10056
Sierra Leone,Moveout,Developing,13908,14233,31537,63679,150418
Singapore,Moveout,Developing,28132,104413,150752,157824,286522
Slovak Republic,Moveout,Developing,401459,372287,292086,370585,540533
Slovenia,Moveout,Developing,32182,40729,38916,81339,91170
Solomon Islands,Moveout,Developing,472,1118,746,1627,2703
Somalia,Moveout,Developing,109245,115441,143837,189656,374377
South Africa,Moveout,Developing,176871,227722,248442,395093,690009
Spain,Moveout,Developed,1760378,2425459,1879097,1556486,1083452
Sri Lanka,Moveout,Developing,69652,127752,397098,643119,780303
St. Kitts and Nevis,Moveout,Developing,11124,6484,12283,23260,27633
St. Lucia,Moveout,Developing,9281,7825,12764,21615,31140
St. Vincent and the Grenadines,Moveout,Developing,16302,16063,25421,36024,54372
Sudan,Moveout,Developing,120977,125630,218296,388879,581452
Suriname,Moveout,Developing,21196,28339,71722,195317,232101
Swaziland,Moveout,Developing,43320,40513,47270,73232,48344
Sweden,Moveout,Developed,328013,260567,217898,211532,257678
Switzerland,Moveout,Developing,256296,340551,322634,334686,309644
Syrian Arab Republic,Moveout,Developing,125447,167436,292741,458293,560376
Tajikistan,Moveout,Developing,40758,68985,160015,334709,558105
Tanzania,Moveout,Developing,177134,183195,184299,199510,235843
