name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,2185889,208933,1976956
Australia,#aec7e8,2456522,219001,2237521
Belarus,#ff7f0e,1128924,2283514,-1154590
Canada,#ffbb78,3251353,1118883,2132470
China,#2ca02c,280380,2839228,-2558848
France,#98df8a,5210326,1179510,4030816
Germany,#d62728,6448710,2708837,3739873
India,#ff9896,9125185,8260687,864498
Italy,#9467bd,863197,5310613,-4447416
Kazakhstan,#c5b0d5,3119091,1852318,1266773
Pakistan,#1f77b4,5105540,8522221,-3416681
Poland,#aec7e8,2088005,5211954,-3123949
Russian Federation,#ff7f0e,7318057,10565229,-3247172
Spain,#ffbb78,355723,2439034,-2083311
Ukraine,#2ca02c,5438349,6362613,-924264
United Kingdom,#98df8a,3018831,3903997,-885166
United States,#d62728,11973797,1320831,10652966
