name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,1637726,437051,1200675
Australia,#aec7e8,3581365,302881,3278484
Bangladesh,#ff7f0e,881518,5068368,-4186850
Belarus,#ffbb78,1631177,2529435,-898258
Canada,#2ca02c,4497519,1143607,3353912
China,#98df8a,90553,4461334,-4370781
Egypt Arab Rep.,#d62728,173687,1908373,-1734686
France,#ff9896,5897247,1410593,4486654
Germany,#9467bd,8914921,3165616,5749305
Hong Kong,#c5b0d5,2208363,426096,1782267
India,#1f77b4,7382060,8176592,-794532
Israel,#aec7e8,1632687,514295,1118392
Italy,#ff7f0e,1428977,3788416,-2359439
Kazakhstan,#ffbb78,3595914,2789104,806810
Korea, Rep.,#2ca02c,571800,1579145,-1007345
Mexico,#98df8a,344616,4744465,-4399849
Pakistan,#d62728,3289920,3480650,-190730
Philippines,#ff9896,136170,2048870,-1912700
Poland,#9467bd,1127757,4193462,-3065705
Portugal,#c5b0d5,435775,1780764,-1344989
Russian Federation,#1f77b4,10572589,13244244,-2671655
Saudi Arabia,#aec7e8,4742980,159778,4583202
Spain,#ff7f0e,829702,1583488,-753786
Turkey,#ffbb78,1119907,2508368,-1388461
Ukraine,#2ca02c,6905414,7178761,-273347
United Kingdom,#98df8a,3791231,4231146,-439915
United States,#d62728,23251023,1781009,21470014
Uzbekistan,#ff9896,1673576,1148857,524719
