Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,885053233,1101819667,1342386406,1583420482,1791655658,1939296199
"Population, total",SP.POP.TOTL,Ecuador,ECU,4545548,6072520,7976449,10218085,12628596,14934692
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,27072397,34808599,43369552,56397273,68334905,82040994
"Population, total",SP.POP.TOTL,El Salvador,SLV,2762897,3668592,4577683,5252082,5811836,6038306
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,252115,290905,220605,377363,530896,728710
"Population, total",SP.POP.TOTL,Eritrea,ERI,1407631,1805480,2383858,3139083,3535156,4689664
"Population, total",SP.POP.TOTL,Estonia,EST,1211537,1360076,1477219,1569174,1396985,1331475
"Population, total",SP.POP.TOTL,Ethiopia,ETH,22151218,28414999,35239974,48057094,66443603,87561814
"Population, total",SP.POP.TOTL,Euro area,EMU,265396501,287416203,302311356,311522808,320997414,336142557
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,667516938,737511115,793795423,842972172,861989674,889077523
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,275220745,313854674,349819167,385568047,392648544,399121746
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,308998195,350929974,389981317,428458829,435333173,441582321
"Population, total",SP.POP.TOTL,European Union,EUU,409498462,442062264,464340783,477988417,487865459,504412209
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,34266,38587,43010,48031,46491,48567
"Population, total",SP.POP.TOTL,Fiji,FJI,393383,520529,635256,728626,811223,859952
"Population, total",SP.POP.TOTL,Finland,FIN,4429634,4606307,4779535,4986431,5176209,5363352
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,118691130,152456401,201051077,258881635,336909548,432225198
"Population, total",SP.POP.TOTL,France,FRA,46814237,52035095,55340782,58512808,60912498,65027512
"Population, total",SP.POP.TOTL,French Polynesia,PYF,78083,110496,151702,198370,237267,268065
"Population, total",SP.POP.TOTL,Gabon,GAB,499189,590119,729165,952269,1231548,1541936
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,367929,447283,604371,916811,1228863,1693002
"Population, total",SP.POP.TOTL,Georgia,GEO,3645600,3967800,4467700,4802000,4418300,3926000
"Population, total",SP.POP.TOTL,Germany,DEU,72814900,78169289,78288576,79433029,82211508,81776930
"Population, total",SP.POP.TOTL,Ghana,GHA,6652285,8596977,10802025,14628260,18824994,24317734
"Population, total",SP.POP.TOTL,Gibraltar,GIB,21529,24661,26568,26833,27351,30732
"Population, total",SP.POP.TOTL,Greece,GRC,8331725,8792806,9642505,10196792,10805808,11121341
"Population, total",SP.POP.TOTL,Greenland,GRL,32500,46400,50200,55600,56200,56905
"Population, total",SP.POP.TOTL,Grenada,GRD,89861,94430,89004,96286,101620,104677
"Population, total",SP.POP.TOTL,Guam,GUM,66741,83880,104131,130482,155328,159440
"Population, total",SP.POP.TOTL,Guatemala,GTM,4127555,5423384,7118628,9158547,11688660,14732261
"Population, total",SP.POP.TOTL,Guinea,GIN,3577413,4215442,4506559,6034082,8799165,11012406
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,616407,711828,849886,1056208,1315455,1634196
"Population, total",SP.POP.TOTL,Guyana,GUY,564222,695561,786614,720282,742218,753362
"Population, total",SP.POP.TOTL,Haiti,HTI,3866160,4708639,5688832,7099733,8549202,9999617
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,162491185,208410359,271276022,354714206,474127024,628333588
"Population, total",SP.POP.TOTL,High income,HIC,758716470,851290758,932213838,1001966223,1074878739,1154477199
"Population, total",SP.POP.TOTL,Honduras,HND,2002333,2691309,3635862,4903363,6243080,7503875
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,3075605,3959000,5063100,5704500,6665000,7024200
"Population, total",SP.POP.TOTL,Hungary,HUN,9983967,10337910,10711122,10373988,10210971,10000023
"Population, total",SP.POP.TOTL,Iceland,ISL,175574,204438,228138,254826,281205,318041
"Population, total",SP.POP.TOTL,India,IND,449661874,553943226,697229745,870601776,1053481072,1230984504
"Population, total",SP.POP.TOTL,Indonesia,IDN,87792512,114834781,147490366,181436821,211540428,241613126
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,21906905,28514011,38668222,56169196,65850062,74253373
"Population, total",SP.POP.TOTL,Iraq,IRQ,7289759,9917982,13653358,17478455,23574751,30868156
"Population, total",SP.POP.TOTL,Ireland,IRL,2828600,2957250,3412800,3513974,3805174,4560155
"Population, total",SP.POP.TOTL,Isle of Man,IMY,48441,56712,65108,70312,76806,84327
